cloudsPercent,forecastTime,humidity,rain,tempK
26,2019-07-03 15:00:00,83,No rain,299.28
36,2019-07-03 18:00:00,74,{'3h': 6.687},302.06
100,2019-07-03 21:00:00,64,{'3h': 1.062},303.51
100,2019-07-04 00:00:00,81,{'3h': 1.25},300.45
95,2019-07-04 03:00:00,88,No rain,297.839
55,2019-07-04 06:00:00,89,No rain,295.907
69,2019-07-04 09:00:00,94,No rain,295.181
68,2019-07-04 12:00:00,96,No rain,295.5
74,2019-07-04 15:00:00,85,No rain,299.239
87,2019-07-04 18:00:00,76,No rain,302.399
100,2019-07-04 21:00:00,70,{'3h': 1.75},303.8
68,2019-07-05 00:00:00,78,{},302.995
100,2019-07-05 03:00:00,89,No rain,298.278
96,2019-07-05 06:00:00,94,No rain,297.024
0,2019-07-05 09:00:00,97,No rain,295.82
16,2019-07-05 12:00:00,97,No rain,295.788
11,2019-07-05 15:00:00,84,No rain,299.74
5,2019-07-05 18:00:00,69,{'3h': 0.5},304.324
39,2019-07-05 21:00:00,67,{'3h': 2.125},305.32
29,2019-07-06 00:00:00,75,{'3h': 0.063},304.388
0,2019-07-06 03:00:00,89,No rain,299.139
0,2019-07-06 06:00:00,87,No rain,297.303
39,2019-07-06 09:00:00,91,No rain,296.288
70,2019-07-06 12:00:00,90,No rain,296.6
100,2019-07-06 15:00:00,80,No rain,300.4
98,2019-07-06 18:00:00,65,No rain,304.4
100,2019-07-06 21:00:00,63,{'3h': 2.312},305.616
96,2019-07-07 00:00:00,69,{'3h': 0.25},305.184
64,2019-07-07 03:00:00,91,{'3h': 1.062},298.654
38,2019-07-07 06:00:00,96,{'3h': 2},297.1
99,2019-07-07 09:00:00,95,{'3h': 5.25},296.1
99,2019-07-07 12:00:00,96,{'3h': 0.312},295.922
88,2019-07-07 15:00:00,87,{'3h': 0.312},299.319
90,2019-07-07 18:00:00,72,{},303.7
9,2019-07-07 21:00:00,62,No rain,305.592
49,2019-07-08 00:00:00,85,{'3h': 4.938},300.938
100,2019-07-08 03:00:00,91,{'3h': 4.938},297.969
100,2019-07-08 06:00:00,90,{'3h': 0.562},296.292
62,2019-07-08 09:00:00,93,No rain,295.512
61,2019-07-08 12:00:00,96,No rain,295.8
