cloudsPercent,forecastTime,humidity,rain,tempC,tempF
0,2019-07-01 03:00:00,83,No rain,147.76111111111112,297.97
0,2019-07-01 06:00:00,85,No rain,147.09444444444443,296.77
0,2019-07-01 09:00:00,91,No rain,146.07777777777778,294.94
0,2019-07-01 12:00:00,90,No rain,146.0666666666667,294.92
0,2019-07-01 15:00:00,77,No rain,148.44444444444446,299.2
17,2019-07-01 18:00:00,64,No rain,150.0,302.0
83,2019-07-01 21:00:00,64,No rain,150.5,302.9
63,2019-07-02 00:00:00,70,{'3h': 0.125},149.94444444444446,301.9
43,2019-07-02 03:00:00,82,No rain,147.18666666666664,296.936
33,2019-07-02 06:00:00,88,No rain,146.13277777777776,295.039
4,2019-07-02 09:00:00,93,No rain,145.55555555555554,294.0
2,2019-07-02 12:00:00,94,No rain,145.67388888888888,294.213
0,2019-07-02 15:00:00,80,No rain,148.34055555555554,299.013
31,2019-07-02 18:00:00,71,No rain,149.96611111111113,301.939
72,2019-07-02 21:00:00,66,No rain,150.83333333333334,303.5
47,2019-07-03 00:00:00,79,{'3h': 3.5},149.48944444444447,301.081
100,2019-07-03 03:00:00,86,{'3h': 0.938},147.37944444444443,297.283
92,2019-07-03 06:00:00,89,{'3h': 0.25},146.77777777777777,296.2
97,2019-07-03 09:00:00,92,{'3h': 0.688},146.46833333333333,295.643
79,2019-07-03 12:00:00,94,{'3h': 0.124},146.16666666666666,295.1
76,2019-07-03 15:00:00,72,{'3h': 1.375},148.3227777777778,298.981
81,2019-07-03 18:00:00,76,{'3h': 2.563},149.88888888888889,301.8
99,2019-07-03 21:00:00,63,{'3h': 0.312},151.13277777777776,304.039
89,2019-07-04 00:00:00,75,No rain,149.61111111111111,301.3
100,2019-07-04 03:00:00,80,No rain,148.0,298.4
100,2019-07-04 06:00:00,93,{'3h': 4.25},146.83333333333334,296.3
100,2019-07-04 09:00:00,97,{'3h': 4.75},146.35222222222222,295.434
100,2019-07-04 12:00:00,99,{'3h': 24.125},146.26444444444445,295.276
100,2019-07-04 15:00:00,94,{'3h': 8.438},146.77777777777777,296.2
100,2019-07-04 18:00:00,90,{'3h': 0.5},148.12055555555557,298.617
100,2019-07-04 21:00:00,74,{'3h': 2.25},150.77777777777777,303.4
100,2019-07-05 00:00:00,82,{'3h': 9.188},149.3361111111111,300.805
76,2019-07-05 03:00:00,86,{'3h': 2.938},148.48111111111112,299.266
81,2019-07-05 06:00:00,94,{'3h': 0.812},147.33333333333334,297.2
100,2019-07-05 09:00:00,94,{'3h': 1.562},146.82000000000002,296.276
80,2019-07-05 12:00:00,94,{'3h': 1.25},146.5,295.7
100,2019-07-05 15:00:00,81,No rain,148.24722222222223,298.845
96,2019-07-05 18:00:00,69,No rain,150.57111111111112,303.028
29,2019-07-05 21:00:00,72,{'3h': 2.688},151.05555555555554,303.9
62,2019-07-06 00:00:00,80,{'3h': 5.687},150.11111111111111,302.2
