SID,OUT_START_DATE,OUT_END_DATE,OUT_CODE
127,8/19/15 11:30 AM,8/19/2015   1:44:00PM,60-0
618,8/19/15 6:11 AM,8/19/2015   3:55:00PM,80-N
659,8/18/15 11:04 PM,8/18/2015  11:25:00PM,80-7
149,8/18/15 9:32 PM,8/18/2015   9:41:00PM,80-7
573,8/18/15 5:30 PM,8/18/2015   8:09:00PM,60-0
305,8/18/15 5:00 PM,8/18/2015   9:03:00PM,62-F
340,8/18/15 4:30 PM,8/18/2015  11:58:00PM,65-0
817,8/18/15 4:30 PM,8/18/2015   5:14:00PM,60-0
590,8/18/15 4:00 PM,8/18/2015   6:27:00PM,64-2
841,8/18/15 4:00 PM,8/18/2015   5:57:00PM,60-0
522,8/18/15 3:30 PM,8/18/2015   4:13:00PM,60-0
170,8/18/15 3:00 PM,8/18/2015   8:30:00PM,60-0
910,8/18/15 3:00 PM,8/18/2015   4:47:00PM,60-0
756,8/18/15 3:00 PM,8/18/2015   4:58:00PM,60-0
234,8/18/15 2:26 PM,8/18/2015   4:05:00PM,80-7
705,8/18/15 2:00 PM,8/18/2015   7:09:00PM,65-0
599,8/18/15 2:00 PM,8/18/2015   7:06:00PM,60-0
636,8/18/15 2:00 PM,8/18/2015   3:28:00PM,60-0
228,8/18/15 2:00 PM,8/18/2015   4:36:00PM,65-0
306,8/18/15 1:30 PM,8/18/2015   5:34:00PM,60-0
42,8/18/15 1:00 PM,8/18/2015   6:56:00PM,64-0
897,8/18/15 12:30 PM,8/18/2015   3:53:00PM,65-0
296,8/18/15 12:00 PM,8/18/2015   2:28:00PM,60-0
352,8/18/15 11:00 AM,9/18/2015   6:00:00PM,65-3
561,8/18/15 4:56 AM,8/18/2015   5:21:00AM,80-7
149,8/18/15 3:31 AM,8/18/2015   3:37:00AM,80-7
38,8/18/15 2:43 AM,8/18/2015   2:58:00AM,80-7
451,8/17/15 11:57 PM,8/18/2015  10:45:00AM,85-5
797,8/17/15 11:35 PM,8/18/2015   4:05:00PM,80-4
451,8/17/15 11:24 PM,8/17/2015  11:34:00PM,80-7
797,8/17/15 11:08 PM,8/17/2015  11:18:00PM,80-7
149,8/17/15 9:30 PM,8/17/2015  10:45:00PM,65-3
770,8/17/15 8:57 PM,8/19/2015   7:14:00PM,80-7
157,8/17/15 7:20 PM,8/18/2015   5:35:00PM,80-F
642,8/17/15 6:00 PM,8/17/2015   6:46:00PM,60-0
579,8/17/15 5:30 PM,8/17/2015   9:58:00PM,65-2
573,8/17/15 5:30 PM,8/17/2015   8:07:00PM,60-0
885,8/17/15 4:03 PM,8/17/2015   4:36:00PM,80-7
272,8/17/15 4:00 PM,8/17/2015   5:05:00PM,65-2
113,8/17/15 4:00 PM,8/21/2015  10:20:00PM,68-0
592,8/17/15 3:00 PM,8/17/2015   4:40:00PM,60-0
550,8/17/15 2:45 PM,8/17/2015   5:20:00PM,68-0
507,8/17/15 2:00 PM,8/17/2015   2:30:00PM,65-2
62,8/17/15 2:00 PM,8/17/2015   2:19:00PM,65-3
57,8/17/15 2:00 PM,8/17/2015   3:37:00PM,60-0
458,8/17/15 2:00 PM,8/17/2015   4:19:00PM,62-4
535,8/17/15 1:30 PM,8/17/2015   4:34:00PM,64-2
340,8/16/15 10:10 PM,8/16/2015  10:20:00PM,80-7
745,8/16/15 7:54 AM,8/16/2015   1:55:00PM,80-4
390,8/16/15 7:02 AM,8/17/2015   5:49:00PM,83-F
659,8/16/15 12:55 AM,8/18/2015   8:18:00PM,80-4
659,8/15/15 11:49 PM,8/16/2015  12:25:00AM,80-7
112,8/15/15 11:08 PM,8/16/2015   6:11:00PM,85-5
826,8/15/15 9:30 PM,8/16/2015   5:15:00PM,80-4
243,8/15/15 12:00 PM,8/17/2015  11:10:00PM,80-4
296,8/15/15 11:30 AM,8/15/2015  10:00:00PM,62-1
243,8/15/15 11:12 AM,8/15/2015  11:19:00AM,80-7
825,8/15/15 7:17 AM,8/18/2015   9:12:00PM,80-4
356,8/15/15 6:58 AM,8/17/2015   6:07:00PM,80-4
523,8/15/15 6:33 AM,8/17/2015   8:29:00PM,80-7
825,8/15/15 4:50 AM,8/15/2015   5:02:00AM,80-7
637,8/15/15 4:37 AM,8/18/2015   6:36:00PM,80-4
523,8/14/15 10:37 PM,8/14/2015  10:42:00PM,89-T
